transaction_id,date,store_name,customer_name,customer_email,product_name,category,quantity,unit_price,total_price,payment_method
TX1266,2025-09-08,Horizon - Jax Riverside,Frank Adams,,Morning Sunrise Blend,Blend,4,12.99,51.96,Mobile Pay
TX1091,2025-10-29,Horizon - St. Pete Central,Bob Lopez,bob_lopez7@yahoo.com,Horizon Tumbler (16 oz),Merchandise,4,22.0,88.0,Credit Card
TX1441,2025-01-20,Horizon - Miami Beach,Frank Lewis,franklewis4@hotmail.com,Gooseneck Kettle,Equipment,5,44.99,224.95,Cash
TX1161,2025-06-21,Horizon - Jax Riverside,Diana Adams,dianaadams68@hotmail.com,Gooseneck Kettle,Equipment,2,44.99,89.98,Mobile Pay
TX1087,2025-12-02,Horizon - Hyde Park,Fiona Flores,fiona_flores36@gmail.com,Matcha Powder,Tea & Other,3,24.99,74.97,Mobile Pay
TX1066,2025-07-30,Horizon - Clearwater,Sam Nelson,sam_nelson98@icloud.com,Colombian Supremo,Single Origin,4,14.99,59.96,Cash
TX1024,2025-06-28,Horizon - Hyde Park,Paul White,paul_white21@hotmail.com,French Press (32 oz),Equipment,5,29.99,149.95,Credit Card
TX1131,2025-06-30,Horizon - Sarasota Bay,Rachel Green,rachel.green10@hotmail.com,Morning Sunrise Blend,Blend,5,12.99,64.95,Debit Card
TX1363,2025-07-02,Horizon - Orlando Mills,Yosef Miller,yosef.miller11@hotmail.com,Cold Brew Concentrate,Ready-to-Drink,1,18.99,18.99,Credit Card
TX1030,2025-01-20,Horizon - Clearwater,Olivia Gonzalez,olivia_gonzalez45@outlook.com,French Press (32 oz),Equipment,2,29.99,59.98,Debit Card
TX1203,2025-01-23,Horizon - Sarasota Bay,Xena Perez,xena_perez14@gmail.com,Kenya AA,Single Origin,3,17.99,53.97,Debit Card
TX1104,2025-02-06,Horizon - Sarasota Bay,Willa Williams,willa_williams3@hotmail.com,Aeropress,Equipment,1,39.99,39.99,Mobile Pay
